model,runtime_sec,best_epoch,surface_test_rmse_c,surface_test_mae_c,surface_test_mape_pct,surface_test_r2,surface_test_peak_error_c,full_field_rmse_c,full_field_mae_c,full_field_r2,k_ratio,k_solder_wmk,aging_ratio,alpha_base,source_gain
data_only_seq,4.234289884567261,120,3.5530476570129395,2.6440014839172363,2.442585490643978,0.9774931701972812,8.348495483398438,20.828516006469727,14.717190742492676,-0.1899332018722999,1.0,50.0,0.0,0.3011941909790039,0.6065306663513184
transient_inverse_no_rba,57.85118913650513,59,3.6249704360961914,2.5347254276275635,2.312255837023258,0.9765727555805943,7.228515625,20.12783432006836,13.226826667785645,-0.11121981801100556,1.0,50.0,0.0,0.3011941909790039,0.6065306663513184
transient_inverse_full,57.92735934257507,59,3.6249704360961914,2.5347254276275635,2.312255837023258,0.9765727555805943,7.228515625,20.12783432006836,13.226826667785645,-0.11121981801100556,1.0,50.0,0.0,0.3011941909790039,0.6065306663513184
steady_like_no_time,57.562761306762695,54,3.76263689994812,2.7035586833953857,2.4332039058208466,0.974759562438085,11.165573120117188,19.779251098632812,13.039633750915527,-0.07306383680827344,1.0,50.0,0.0,0.3011941909790039,0.6065306663513184
transient_fixed_k,57.064611196517944,54,3.76263689994812,2.7035586833953857,2.4332039058208466,0.974759562438085,11.165573120117188,19.779251098632812,13.039633750915527,-0.07306383680827344,1.0,50.0,0.0,0.3011941909790039,0.6065306663513184
