epoch,train_loss,val_rmse_c,k_ratio,alpha_base,source_gain,loss_data,loss_rollout,loss_ic,loss_bc,loss_pde,loss_param
1,0.016843441873788834,27.809844970703125,1.0,0.3011941909790039,0.6065306663513184,0.0016837312141433358,0.00010217926319455728,0.0,0.0,0.0,0.0
2,1.0389944314956665,13.801862716674805,1.0,0.3011941909790039,0.6065306663513184,0.10386278480291367,0.006109269801527262,0.0,0.0,0.0,0.0
3,0.2508603036403656,6.530653476715088,1.0,0.3011941909790039,0.6065306663513184,0.025077184662222862,0.0014742237981408834,0.0,0.0,0.0,0.0
4,0.052070941776037216,10.044323921203613,1.0,0.3011941909790039,0.6065306663513184,0.005205150693655014,0.00032393724541179836,0.0,0.0,0.0,0.0
5,0.13449282944202423,11.659707069396973,1.0,0.3011941909790039,0.6065306663513184,0.013444974087178707,0.0007181463879533112,0.0,0.0,0.0,0.0
6,0.18070341646671295,7.942887783050537,1.0,0.3011941909790039,0.6065306663513184,0.018065575510263443,0.000794388703070581,0.0,0.0,0.0,0.0
7,0.08325409889221191,5.611793041229248,1.0,0.3011941909790039,0.6065306663513184,0.0083225192502141,0.00048183099715970457,0.0,0.0,0.0,0.0
8,0.04011338949203491,6.724214553833008,1.0,0.3011941909790039,0.6065306663513184,0.004008548334240913,0.00046510648098774254,0.0,0.0,0.0,0.0
9,0.057908523827791214,5.835293292999268,1.0,0.3011941909790039,0.6065306663513184,0.0057896520011126995,0.00020001782104372978,0.0,0.0,0.0,0.0
10,0.04344546049833298,5.350241661071777,1.0,0.3011941909790039,0.6065306663513184,0.004343523643910885,0.00017038595979101956,0.0,0.0,0.0,0.0
11,0.03679698705673218,5.661136627197266,1.0,0.3011941909790039,0.6065306663513184,0.003677378874272108,0.00038662669248878956,0.0,0.0,0.0,0.0
12,0.04149419441819191,5.47165584564209,1.0,0.3011941909790039,0.6065306663513184,0.004147945437580347,0.0002456741058267653,0.0,0.0,0.0,0.0
13,0.038621798157691956,5.280912399291992,1.0,0.3011941909790039,0.6065306663513184,0.0038600831758230925,0.00034942218917421997,0.0,0.0,0.0,0.0
14,0.03571934252977371,5.238245964050293,1.0,0.3011941909790039,0.6065306663513184,0.003569964785128832,0.0003282700781710446,0.0,0.0,0.0,0.0
15,0.03500746190547943,5.316809177398682,1.0,0.3011941909790039,0.6065306663513184,0.0034997882321476936,0.00015967225772328675,0.0,0.0,0.0,0.0
16,0.03614228591322899,5.1438727378845215,1.0,0.3011941909790039,0.6065306663513184,0.0036128563806414604,0.0002286782837472856,0.0,0.0,0.0,0.0
17,0.03386646881699562,4.9274725914001465,1.0,0.3011941909790039,0.6065306663513184,0.0033852504566311836,0.00023277134459931403,0.0,0.0,0.0,0.0
18,0.03109380044043064,4.863094806671143,1.0,0.3011941909790039,0.6065306663513184,0.0031085240188986063,0.00014269034727476537,0.0,0.0,0.0,0.0
19,0.030296573415398598,4.954815864562988,1.0,0.3011941909790039,0.6065306663513184,0.003028878476470709,0.0001297806593356654,0.0,0.0,0.0,0.0
20,0.03140735626220703,4.971518516540527,1.0,0.3011941909790039,0.6065306663513184,0.00313977780751884,0.00015961809549480677,0.0,0.0,0.0,0.0
21,0.03146815299987793,4.833776473999023,1.0,0.3011941909790039,0.6065306663513184,0.003145889611914754,0.00015430893108714372,0.0,0.0,0.0,0.0
22,0.029585443437099457,4.7659010887146,1.0,0.3011941909790039,0.6065306663513184,0.002957648364827037,0.00014932622434571385,0.0,0.0,0.0,0.0
23,0.028759915381669998,4.757368564605713,1.0,0.3011941909790039,0.6065306663513184,0.002874908735975623,0.0001804581843316555,0.0,0.0,0.0,0.0
24,0.028710711747407913,4.645049095153809,1.0,0.3011941909790039,0.6065306663513184,0.0028700304683297873,0.0001734364195726812,0.0,0.0,0.0,0.0
25,0.027294639497995377,4.535392761230469,1.0,0.3011941909790039,0.6065306663513184,0.002728810766711831,0.00010887188545893878,0.0,0.0,0.0,0.0
26,0.02591312862932682,4.571187496185303,1.0,0.3011941909790039,0.6065306663513184,0.0025907582603394985,9.242726082447916e-05,0.0,0.0,0.0,0.0
27,0.026329942047595978,4.610342502593994,1.0,0.3011941909790039,0.6065306663513184,0.0026321487966924906,0.0001409101387253031,0.0,0.0,0.0,0.0
28,0.026773596182465553,4.549774169921875,1.0,0.3011941909790039,0.6065306663513184,0.0026764334179461002,0.00015439566050190479,0.0,0.0,0.0,0.0
29,0.02591409720480442,4.51721715927124,1.0,0.3011941909790039,0.6065306663513184,0.00259079085662961,0.00010317056876374409,0.0,0.0,0.0,0.0
30,0.02539672516286373,4.506600856781006,1.0,0.3011941909790039,0.6065306663513184,0.0025392414536327124,7.182925764936954e-05,0.0,0.0,0.0,0.0
31,0.02521597594022751,4.491931438446045,1.0,0.3011941909790039,0.6065306663513184,0.0025210166350007057,9.681554365670308e-05,0.0,0.0,0.0,0.0
32,0.024961993098258972,4.426292896270752,1.0,0.3011941909790039,0.6065306663513184,0.002495482098311186,0.00011952529894188046,0.0,0.0,0.0,0.0
33,0.024044524878263474,4.360992431640625,1.0,0.3011941909790039,0.6065306663513184,0.002403853926807642,9.978839079849422e-05,0.0,0.0,0.0,0.0
34,0.02322644181549549,4.388411521911621,1.0,0.3011941909790039,0.6065306663513184,0.00232223654165864,6.796591333113611e-05,0.0,0.0,0.0,0.0
35,0.023539841175079346,4.438850402832031,1.0,0.3011941909790039,0.6065306663513184,0.002353598130866885,6.43333769403398e-05,0.0,0.0,0.0,0.0
36,0.02406209148466587,4.416596412658691,1.0,0.3011941909790039,0.6065306663513184,0.002405728679150343,8.00500565674156e-05,0.0,0.0,0.0,0.0
37,0.02375451661646366,4.346080780029297,1.0,0.3011941909790039,0.6065306663513184,0.002374977106228471,7.908995030447841e-05,0.0,0.0,0.0,0.0
38,0.022930603474378586,4.320855140686035,1.0,0.3011941909790039,0.6065306663513184,0.0022926756646484137,6.411498907255009e-05,0.0,0.0,0.0,0.0
39,0.022580690681934357,4.329065322875977,1.0,0.3011941909790039,0.6065306663513184,0.0022577254567295313,5.7287837989861146e-05,0.0,0.0,0.0,0.0
40,0.022601839154958725,4.322195053100586,1.0,0.3011941909790039,0.6065306663513184,0.00225982628762722,5.9589696320472285e-05,0.0,0.0,0.0,0.0
41,0.02251744084060192,4.277141571044922,1.0,0.3011941909790039,0.6065306663513184,0.0022513610310852528,6.384302105288953e-05,0.0,0.0,0.0,0.0
42,0.022061359137296677,4.2330322265625,1.0,0.3011941909790039,0.6065306663513184,0.0022057630121707916,6.213948654476553e-05,0.0,0.0,0.0,0.0
43,0.021672047674655914,4.21209716796875,1.0,0.3011941909790039,0.6065306663513184,0.002166850259527564,5.906321530346759e-05,0.0,0.0,0.0,0.0
